# Index number,# Trap location y-coordinate of trap in SVY21 coordinate system,# Trap location x-coordinate of trap in SVY21 coordinate system,"# Deployment contractor, grouped A or B/C",# Trap deployment date in Julian date format (yyddd),"# sin(ops_start), to account for seasonal variations","# cos(ops_start),  to account for seasonal variations",# Population density of crows at trap vicinity (crow per hectare); estimate from data by Tan et al 2020,"# Number of feeding cases in a 250m radius around trap, prior to trap deployement","# Number of feeding cases in a 500m radius around trap, prior to trap deployement","# Percentage of built up area (including roads, buildings, and other urban structures) in a 250m radius of trap ","# Percentage of vegetated areas that are routinely managed (e.g., planted and maintained by pruning) and utilized by humans, such as urban parks and gardens, in a 250m radius of the trap",# Percentage of tree canopy cover in a 250m radius of the trap,"# Percentage of built up area (including roads, buildings, and other urban structures) in a 500m radius of trap ","# Percentage of vegetated areas that are routinely managed (e.g., planted and maintained by pruning) and utilized by humans, such as urban parks and gardens, in a 500m radius of the trap",# Percentage of tree canopy cover in a 500m radius of the trap,"# Spatial-temporal index of proximity; a smaller interval between this trap and the previous one, smaller  distance between adjacent traps, and greater number of prior traps would give a greater value",# Total number of crows caught per active day of operation; inactive days where the trap was not monitored or operated (eg weekends) or days of inclement weather were excluded,# Presence of other birds trapped (Javan mynas or rock pigeons)
idx,lat_svy21_adj,lon_svy21_adj,contractor,ops_start,sin_ops_start,cos_ops_start,pop_density,feeding_count_250m,feeding_count_500m,builtup_area_250m,human_veg_area_250m,tree_canopy_area_250m,builtup_area_500m,human_veg_area_500m,tree_canopy_area_500m,proximity_index,crows_caught_per_day,other_birds
62,40143.07481,39675.4648,A,23054,0.799839245,0.600214281,0.108256728,21,40,72.21772277,27.69485633,4.285208347,69.29041916,26.42308768,8.257857825,321.8895041,0.5,FALSE
63,42835.77555,37124.23653,A,22354,-0.204552066,0.978855685,0.003842067,2,6,82.90095538,8.248049127,0,70.58525156,24.0684308,0.29344826,240.1938681,0.875,FALSE
64,42792.33039,34969.82203,A,23058,0.839137755,0.543918954,0.016366023,15,33,85.02582542,14.96779046,0.790093702,64.2535274,35.11753189,3.375056123,306.1592577,1.857142857,FALSE
65,42429.13281,37352.56636,B/C,22339,-0.447093793,0.894487082,0.005273837,4,6,57.26129941,31.6830945,0.01244203,58.95645642,31.27075205,1.346398112,227.5065366,0.416666667,TRUE
66,45313.29091,27742.12111,A,23047,0.722116597,0.691771365,0.218052866,68,117,67.86869616,31.82742967,1.150024651,66.36879524,32.06414693,5.313769799,277.6937611,0.333333333,FALSE
67,39644.73541,34052.92799,A,22146,0.593326764,-0.804961708,0.257448177,2,31,75.85188299,22.00524522,13.38072799,75.94156714,22.02666395,9.643163908,50.41264371,2.111111111,FALSE
68,36915.69848,32139.53396,A,22224,-0.647160667,-0.762353639,0.186888651,4,22,70.85712235,28.46126747,4.412548673,73.65358488,25.80631595,6.257396205,111.3860462,1.5,FALSE
69,36945.4881,32187.4656,A,22274,-0.999963161,-0.008583481,0.186888651,3,25,68.09345756,31.21146826,4.581263939,73.07765926,26.4421451,6.730020167,160.3195905,0.285714286,FALSE
70,40007.98853,34195.53472,A,22151,0.522132581,-0.852864331,0.165495824,6,26,81.91693011,17.74028496,9.001506091,72.97056523,24.43766707,9.380187828,55.23166381,4,FALSE
71,37377.16513,31676.35477,A,22171,0.204552066,-0.978855685,0.173097497,6,9,76.4203869,19.14124627,5.759508506,75.36604088,22.28286999,6.606367872,65.95818333,0.333333333,FALSE
72,37431.0634,41391.94741,A,22180,0.051478755,-0.99867409,0.133100244,6,23,82.38306911,17.6163717,3.424455497,78.53707733,21.45757539,3.634577821,100.7964785,0,FALSE
73,39731.0616,34532.92091,A,22251,-0.919720437,-0.392573965,0.180745711,47,55,70.35097293,27.98915538,5.091779907,70.07418515,26.18448511,6.584338648,145.4625624,0.571428571,FALSE
74,39730.70783,34535.80327,A,22172,0.187718565,-0.982222857,0.180745711,22,26,70.18125289,28.15864474,5.101418857,70.10086094,26.15392089,6.545481785,67.35696703,0.2,FALSE
75,40963.82351,35947.74002,A,22312,-0.799839245,0.600214281,0.034338849,2,20,72.89570856,23.80397847,0.189892765,59.6702483,21.5119961,4.902413758,183.1171164,0.142857143,FALSE
76,36876.86407,39941.6992,A,22154,0.477535886,-0.878612245,0.300837843,4,10,71.99535871,28.00268412,6.792593507,76.21970733,23.34295727,6.373924559,58.73147855,1.75,FALSE
77,34466.85787,38292.77676,A,22164,0.320423273,-0.947274472,0.312156825,4,15,56.10963934,43.86780649,26.28389824,58.63638884,41.35749498,21.30722818,65.66574797,3.25,FALSE
78,37308.02239,40516.75409,A,22180,0.051478755,-0.99867409,0.257940704,5,21,80.89419604,19.10291479,1.74333046,75.36785033,24.27769086,3.476028654,72.78853097,3.5,FALSE
79,33698.23734,39357.89777,A,22208,-0.416124696,-0.909307559,0.351298554,14,17,60.63473054,39.36452387,22.82597451,63.43333955,36.37504369,21.2638575,95.84433649,4,FALSE
80,39575.65636,34402.54001,B/C,22313,-0.78941791,0.613856142,0.180745711,43,68,61.55364218,34.77306798,4.90733479,70.31608033,26.66348548,7.203582004,251.4659454,0.921568628,TRUE
81,36717.76598,39098.78064,A,22215,-0.522132581,-0.852864331,0.166583033,1,12,72.14523738,27.85219966,8.063705149,71.61947254,27.4451726,9.591624969,106.3989295,4.833333333,FALSE
82,37856.88821,40605.32547,A,22224,-0.647160667,-0.762353639,0.15738346,5,10,63.72771966,33.05775997,7.795055803,52.25679821,30.85721495,14.62471507,110.6020626,1.166666667,FALSE
83,37856.77752,40602.84374,A,22299,-0.91284586,0.408304342,0.15738346,8,14,63.66389554,33.10376805,7.973522093,52.21693086,30.8905003,14.63532951,180.6092244,2.142857143,FALSE
